arm,game_id,model,run_id,turn,cost_usd,cum_cost_usd,frac_of_run,frac_of_spend,failed_step,outcome,e2_frontload_index,e2_status,e3_convergence_point,e3_status,e4_context_growth,e4_status,battery_turns,turn_axis_agrees
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,10,0.041737,0.333430,0.476190,0.457132,false,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,11,0.042467,0.375897,0.523810,0.515353,true,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,12,0.036175,0.412072,0.571429,0.564950,false,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,13,0.035692,0.447763,0.619048,0.613883,false,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,14,0.038666,0.486430,0.666667,0.666895,false,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,15,0.035641,0.522072,0.714286,0.715759,true,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,16,0.032102,0.554173,0.761905,0.759770,true,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,17,0.036427,0.590600,0.809524,0.809711,true,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,18,0.033323,0.623923,0.857143,0.855397,true,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,19,0.031987,0.655910,0.904762,0.899251,false,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,20,0.032778,0.688687,0.952381,0.944189,true,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,21,0.040709,0.729396,1.000000,1.000000,true,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,1,0.026446,0.026446,0.050000,0.059822,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,2,0.017395,0.043841,0.100000,0.099170,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,3,0.017469,0.061310,0.150000,0.138685,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,4,0.018043,0.079353,0.200000,0.179498,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,5,0.017387,0.096740,0.250000,0.218828,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,6,0.017000,0.113740,0.300000,0.257282,true,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,7,0.017753,0.131493,0.350000,0.297439,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
